date,average_water_level
2018-02-01,186.57833333333335
2018-01-31,186.5354166666667
2018-01-30,186.5625
2018-01-29,186.59749999999997
2018-01-28,186.52750000000006
2018-01-27,186.47916666666666
2018-01-26,186.4120833333333
2018-01-25,186.42083333333332
2018-01-24,186.43375
2018-01-23,186.37958333333333
2018-01-22,186.33749999999998
2018-01-21,186.2195833333333
2018-01-20,186.18499999999995
2018-01-19,186.13374999999996
2018-01-18,186.1370833333333
2018-01-17,186.14708333333328
2018-01-16,186.20083333333332
2018-01-15,186.0241666666667
2018-01-14,186.00250000000003
2018-01-13,186.02125
2018-01-12,185.92458333333332
2018-01-11,185.87217391304353
2018-01-10,185.70499999999996
2018-01-09,185.70500000000004
2018-01-08,185.70086956521735
2018-01-07,185.57608695652175
2018-01-06,185.57541666666668
2018-01-05,185.5391666666667
2018-01-04,185.46541666666664
2018-01-03,185.41375000000002
2018-01-02,185.36416666666665
2018-01-01,185.37499999999997
2017-12-31,185.29708333333326
2017-12-30,185.15208333333337
2017-12-29,185.1158333333333
2017-12-28,185.07608695652175
2017-12-27,185.0708333333333
2017-12-26,184.94166666666663
2017-12-25,184.8858333333333
2017-12-24,184.8316666666667
2017-12-23,184.76500000000007
2017-12-22,184.67541666666668
2017-12-21,184.54041666666672
2017-12-20,184.50041666666672
2017-12-19,184.42375
2017-12-18,184.38458333333335
2017-12-17,184.30347826086958
2017-12-16,184.19916666666668
2017-12-15,184.22541666666663
2017-12-14,184.0866666666667
2017-12-13,183.99541666666667
2017-12-12,184.00666666666666
2017-12-11,183.91166666666663
2017-12-10,183.89541666666665
2017-12-09,183.81958333333333
2017-12-08,183.70624999999995
2017-12-07,183.67791666666665
2017-12-06,183.60000000000002
2017-12-05,183.51624999999993
2017-12-04,183.33708333333334
2017-12-03,183.2441666666667
2017-12-02,183.1804166666667
2017-12-01,183.07833333333338
2017-11-30,182.99041666666665
2017-11-29,182.91583333333332
2017-11-28,182.76791666666665
2017-11-27,182.65708333333336
2017-11-26,182.63749999999996
2017-11-25,182.49958333333328
2017-11-24,182.36874999999998
2017-11-23,182.32291666666666
2017-11-22,182.34217391304347
2017-11-21,182.16
2017-11-20,182.09521739130432
2017-11-19,182.11499999999992
2017-11-18,182.01958333333326
2017-11-17,181.90208333333328
2017-11-16,181.8891666666666
2017-11-15,181.8379166666667
2017-11-14,181.78304347826088
2017-11-13,181.80125
2017-11-12,181.77652173913043
2017-11-11,181.7025
2017-11-10,181.69708333333332
2017-11-09,181.68166666666662
2017-11-08,181.67291666666665
2017-11-07,181.59791666666663
2017-11-06,181.55291666666668
2017-11-05,181.50333333333333
2017-11-04,181.475
2017-11-03,181.475
2017-11-02,181.43521739130432
2017-11-01,181.3545833333333
2017-10-31,181.59217391304344
2017-10-30,181.81875000000005
2017-10-29,181.78956521739133
2017-10-28,181.7982608695652
2017-10-27,181.7778260869565
2017-10-26,181.62541666666667
2017-10-25,181.67999999999995
2017-10-24,181.75041666666667
2017-10-23,181.66833333333332
2017-10-22,181.70999999999995
2017-10-21,181.6420833333333
2017-10-20,181.6691666666666
2017-10-19,181.7195833333333
2017-10-18,181.75708333333338
2017-10-17,181.8125
2017-10-16,181.89916666666662
2017-10-15,181.96708333333336
2017-10-14,181.98000000000005
2017-10-13,182.07666666666663
2017-10-12,182.1683333333333
2017-10-11,182.29695652173913
2017-10-10,182.50260869565224
2017-10-09,182.53913043478263
2017-10-08,182.6504347826087
2017-10-07,182.8379166666667
2017-10-06,183.03000000000006
2017-10-05,183.27125000000004
2017-10-04,183.55125000000007
2017-10-03,183.82750000000001
2017-10-02,184.11
2017-10-01,184.48958333333334
2017-09-30,185.02583333333334
2017-09-29,185.67958333333334
2017-09-28,186.5179166666667
2017-09-27,187.27125000000004
2017-09-26,187.3413043478261
2017-09-25,187.3033333333333
2017-09-24,187.28208333333336
2017-09-23,187.24916666666672
2017-09-22,187.22458333333327
2017-09-21,187.19916666666663
2017-09-20,187.1625
2017-09-19,187.12708333333333
2017-09-18,187.10208333333333
2017-09-17,187.07875
2017-09-16,187.0504166666667
2017-09-15,187.00291666666666
2017-09-14,186.9416666666667
2017-09-13,186.89
2017-09-12,186.85083333333333
2017-09-11,186.84208333333333
2017-09-10,186.81750000000002
2017-09-09,186.77666666666667
2017-09-08,186.72913043478258
2017-09-07,186.6829166666666
2017-09-06,186.65124999999992
2017-09-05,186.58916666666667
2017-09-04,186.5333333333334
2017-09-03,186.50541666666672
2017-09-02,186.46416666666664
2017-09-01,186.41434782608695
2017-08-31,186.3545833333333
2017-08-30,186.3004166666667
2017-08-29,186.2470833333333
2017-08-28,186.18375
2017-08-27,186.13
2017-08-26,186.07916666666668
2017-08-25,186.0217391304348
2017-08-24,185.96541666666664
2017-08-23,185.9233333333333
2017-08-22,185.88173913043477
2017-08-21,185.84416666666664
2017-08-20,185.7654166666667
2017-08-19,185.7025
2017-08-18,185.6520833333333
2017-08-17,185.60333333333332
2017-08-16,185.53625000000002
2017-08-15,185.46166666666667
2017-08-14,185.38916666666668
2017-08-13,185.33565217391305
2017-08-12,185.28
2017-08-11,185.23869565217393
2017-08-10,185.20833333333334
2017-08-09,185.15874999999997
2017-08-08,185.12083333333337
2017-08-07,185.08416666666668
2017-08-06,184.97458333333336
2017-08-05,184.91583333333332
2017-08-04,184.85541666666663
2017-08-03,184.78260869565221
2017-08-02,184.70624999999998
2017-08-01,184.61791666666662
2017-07-31,184.53875000000005
2017-07-30,184.44625
2017-07-29,184.34875
2017-07-28,184.25434782608693
2017-07-27,184.17041666666663
2017-07-26,184.09124999999997
2017-07-25,184.01291666666668
2017-07-24,183.89999999999998
2017-07-23,183.79916666666668
2017-07-22,183.69583333333335
2017-07-21,183.60375
2017-07-20,183.51875000000004
2017-07-19,183.43041666666662
2017-07-18,183.31391304347827
2017-07-17,183.19458333333333
2017-07-16,183.07791666666674
2017-07-15,182.98124999999993
2017-07-14,182.88125000000002
2017-07-13,182.77374999999995
2017-07-12,182.65083333333334
2017-07-11,182.51958333333326
2017-07-10,182.40304347826086
2017-07-09,182.30249999999998
2017-07-08,182.20708333333334
2017-07-07,182.12125
2017-07-06,182.03458333333336
2017-07-05,181.94208333333327
2017-07-04,181.84875
2017-07-03,181.77086956521742
2017-07-02,181.72958333333335
2017-07-01,181.6695833333333
2017-06-30,181.58624999999998
2017-06-29,181.5079166666667
2017-06-28,181.46124999999995
2017-06-27,181.42583333333334
2017-06-26,181.38708333333327
2017-06-25,181.36333333333332
2017-06-24,181.32875
2017-06-23,181.2145833333333
2017-06-22,181.1329166666667
2017-06-21,181.08624999999998
2017-06-20,181.07583333333335
2017-06-19,181.0454166666667
2017-06-18,180.95125
2017-06-17,180.87958333333333
2017-06-16,180.84333333333333
2017-06-15,180.81708333333336
2017-06-14,180.7708333333334
2017-06-13,180.7060869565217
2017-06-12,180.65416666666667
2017-06-11,180.60541666666666
2017-06-10,180.54250000000002
2017-06-09,180.47782608695653
2017-06-08,180.43041666666667
2017-06-07,180.39291666666668
2017-06-06,180.32695652173916
2017-06-05,180.23304347826087
2017-06-04,180.17333333333332
2017-06-03,180.14541666666665
2017-06-02,180.07833333333335
2017-06-01,180.01458333333335
2017-05-31,179.9720833333333
2017-05-30,179.92833333333328
2017-05-29,179.87000000000003
2017-05-28,179.78291666666667
2017-05-27,179.71041666666665
2017-05-26,179.67666666666665
2017-05-25,179.57291666666666
2017-05-24,179.5416666666667
2017-05-23,179.51999999999998
2017-05-22,179.47416666666666
2017-05-21,179.46666666666667
2017-05-20,179.42291666666668
2017-05-19,179.33739130434785
2017-05-18,179.29388888888894
2017-05-17,179.29777777777778
2017-05-16,179.24666666666675
2017-05-15,179.28347826086957
2017-05-14,179.28826086956525
2017-05-13,179.29000000000005
2017-05-12,179.3154166666667
2017-05-11,179.31130434782608
2017-05-10,179.3216666666667
2017-05-09,179.34374999999997
2017-05-08,179.39708333333328
2017-05-07,179.4160869565217
2017-05-06,179.43916666666664
2017-05-05,179.49695652173918
2017-05-04,179.57916666666665
2017-05-03,179.52416666666673
2017-05-02,179.56333333333336
2017-05-01,179.61260869565217
2017-04-30,179.69500000000002
2017-04-29,179.65874999999997
2017-04-28,179.65166666666664
2017-04-27,179.72958333333335
2017-04-26,179.79416666666665
2017-04-25,179.75750000000005
2017-04-24,179.8608695652174
2017-04-23,180.00583333333336
2017-04-22,180.0825
2017-04-21,180.05375
2017-04-20,180.15791666666667
2017-04-19,180.23916666666673
2017-04-18,180.31041666666667
2017-04-17,180.3820833333333
2017-04-16,180.47208333333333
2017-04-15,180.55625
2017-04-14,180.65124999999992
2017-04-13,180.77125000000004
2017-04-12,180.90666666666664
2017-04-11,181.03875000000005
2017-04-10,181.16083333333324
2017-04-09,181.28000000000006
2017-04-08,181.45125000000004
2017-04-07,181.69375000000005
2017-04-06,181.9441666666667
2017-04-05,182.24958333333336
2017-04-04,182.39208333333332
2017-04-03,182.74125000000004
2017-04-02,183.10333333333332
2017-04-01,183.10999999999999
2017-03-31,182.99374999999995
2017-03-30,182.97916666666666
2017-03-29,182.92624999999998
2017-03-28,182.77625
2017-03-27,182.77347826086955
2017-03-26,182.67541666666662
2017-03-25,182.66166666666666
2017-03-24,182.58916666666667
2017-03-23,182.50125000000003
2017-03-22,182.48874999999998
2017-03-21,182.41625
2017-03-20,182.35958333333335
2017-03-19,182.33249999999998
2017-03-18,182.30478260869566
2017-03-17,182.21208333333325
2017-03-16,182.14999999999998
2017-03-15,182.14333333333335
2017-03-14,182.07375000000002
2017-03-13,182.01749999999996
2017-03-12,181.98375000000001
2017-03-11,181.89583333333334
2017-03-10,181.88291666666666
2017-03-09,181.82478260869567
2017-03-08,181.82625
2017-03-07,181.80499999999998
2017-03-06,181.67125
2017-03-05,181.65999999999997
2017-03-04,181.67374999999993
2017-03-03,181.6958333333333
2017-03-02,181.67041666666663
2017-03-01,181.59749999999997
2017-02-28,181.47124999999997
2017-02-27,181.4433333333333
2017-02-26,181.39217391304345
2017-02-25,181.44625
2017-02-24,181.38125
2017-02-23,181.2691666666667
2017-02-22,181.34041666666667
2017-02-21,181.44250000000002
2017-02-20,181.54250000000005
2017-02-19,181.45217391304345
2017-02-18,181.34478260869565
2017-02-17,181.23874999999998
2017-02-16,181.20869565217393
2017-02-15,181.18208333333334
2017-02-14,181.0654166666667
2017-02-13,180.93708333333328
2017-02-12,180.92
2017-02-11,180.8033333333333
2017-02-10,180.7513043478261
2017-02-09,180.75708333333333
2017-02-08,180.6029166666667
2017-02-07,180.48083333333332
2017-02-06,180.41125
2017-02-05,180.3720833333334
2017-02-04,180.33416666666668
2017-02-03,180.32708333333335
2017-02-02,180.27083333333334
2017-02-01,180.13541666666666
2017-01-31,180.05416666666667
2017-01-30,180.03250000000003
2017-01-29,180.025
2017-01-28,179.9683333333333
2017-01-27,179.89541666666665
2017-01-26,179.8445833333333
2017-01-25,179.76333333333332
2017-01-24,179.5604166666667
2017-01-23,179.56916666666666
2017-01-22,179.56750000000002
2017-01-21,179.37041666666664
2017-01-20,179.3504166666667
2017-01-19,179.28875000000002
2017-01-18,179.31347826086957
2017-01-17,179.27333333333334
2017-01-16,179.22333333333327
2017-01-15,179.09708333333333
2017-01-14,179.1369565217391
2017-01-13,179.10666666666668
2017-01-12,179.01374999999996
2017-01-11,178.90375000000003
2017-01-10,178.84541666666667
2017-01-09,178.83166666666668
2017-01-08,178.842
2017-01-07,178.87611111111113
2017-01-06,178.74125
2017-01-05,178.50791666666666
2017-01-04,178.49875000000006
2017-01-03,178.44375
2017-01-02,178.35999999999999
2017-01-01,178.23458333333335
2016-12-31,178.14041666666665
2016-12-30,178.18750000000003
2016-12-29,178.24249999999998
2016-12-28,178.05958333333334
2016-12-27,178.04565217391308
2016-12-26,178.02374999999995
2016-12-25,177.88249999999996
2016-12-24,177.87444444444444
2016-12-22,177.915
2016-12-21,177.87333333333333
2016-12-20,177.9054166666666
2016-12-19,177.99375000000006
2016-12-18,178.04166666666666
2016-12-17,177.76
2016-12-16,177.76874999999998
2016-12-15,177.8995833333333
2016-12-14,177.89916666666662
2016-12-13,177.86478260869563
2016-12-12,177.8604347826087
2016-12-11,177.84608695652173
2016-12-10,177.95749999999995
2016-12-09,178.0858333333333
2016-12-08,178.22791666666663
2016-12-07,178.1745833333333
2016-12-06,178.2654166666667
2016-12-05,178.3045833333333
2016-12-04,178.41833333333332
2016-12-03,178.3334782608696
2016-12-02,178.2995833333334
2016-12-01,178.25333333333336
2016-11-30,178.24958333333336
2016-11-29,178.07666666666668
2016-11-28,177.95625000000004
2016-11-27,177.94499999999996
2016-11-26,178.05000000000004
2016-11-25,178.04708333333338
2016-11-24,177.9658333333333
2016-11-23,177.95833333333334
2016-11-22,177.84916666666666
2016-11-21,177.83375
2016-11-20,177.8733333333333
2016-11-19,177.97458333333336
2016-11-18,177.89583333333337
2016-11-17,177.74833333333333
2016-11-16,177.76750000000004
2016-11-15,177.79260869565218
2016-11-14,177.78708333333336
2016-11-13,177.79708333333338
2016-11-12,177.81833333333336
2016-11-11,177.82083333333335
2016-11-10,177.8458333333333
2016-11-09,177.85624999999996
2016-11-08,177.8504347826087
2016-11-07,177.81708333333336
2016-11-06,177.8033333333333
2016-11-05,177.83791666666664
2016-11-04,177.8833333333333
2016-11-03,177.88625000000002
2016-11-02,177.86749999999998
2016-11-01,177.83833333333334
2016-10-31,177.84833333333333
2016-10-30,177.89583333333334
2016-10-29,177.89708333333328
2016-10-28,177.91083333333336
2016-10-27,177.93499999999997
2016-10-26,177.91782608695644
2016-10-25,177.92583333333332
2016-10-24,177.9625
2016-10-23,177.9725
2016-10-22,177.98583333333332
2016-10-21,178.03750000000005
2016-10-20,178.06916666666666
2016-10-19,178.03125000000003
2016-10-18,178.04333333333332
2016-10-17,178.05208333333334
2016-10-16,178.11124999999996
2016-10-15,178.15791666666664
2016-10-14,178.21500000000003
2016-10-13,178.28130434782614
2016-10-12,178.31478260869565
2016-10-11,178.3808333333333
2016-10-10,178.45874999999998
2016-10-09,178.55666666666664
2016-10-08,178.65833333333327
2016-10-07,178.74458333333337
2016-10-06,178.80083333333334
2016-10-05,178.92291666666665
2016-10-04,179.02125000000004
2016-10-03,179.17958333333334
2016-10-02,179.38749999999993
2016-10-01,179.58666666666667
2016-09-30,179.82375
2016-09-29,180.09916666666663
2016-09-28,180.33708333333334
2016-09-27,180.63625
2016-09-26,181.01166666666668
2016-09-25,181.37583333333328
2016-09-24,181.41347826086954
2016-09-23,181.38833333333335
2016-09-22,181.37500000000003
2016-09-21,181.3717391304348
2016-09-20,181.3821739130435
2016-09-19,181.37541666666667
2016-09-18,181.37374999999997
2016-09-17,181.3973913043478
2016-09-16,181.40541666666664
2016-09-15,181.46208333333334
2016-09-14,181.55208333333337
2016-09-13,181.61583333333328
2016-09-12,181.58958333333328
2016-09-11,181.61874999999998
2016-09-10,181.65833333333333
2016-09-09,181.61875
2016-09-08,181.6670833333333
2016-09-07,181.7733333333334
2016-09-06,181.8929166666666
2016-09-05,182.03250000000003
2016-09-04,182.1886956521739
2016-09-03,182.36916666666662
2016-09-02,182.55708333333334
2016-09-01,182.68041666666662
2016-08-31,182.81375
2016-08-30,182.93375
2016-08-29,183.02875000000003
2016-08-28,183.16083333333327
2016-08-27,183.32291666666666
2016-08-26,183.53874999999996
2016-08-25,183.8045833333333
2016-08-24,184.13083333333336
2016-08-23,184.55608695652174
2016-08-22,185.04416666666677
2016-08-21,185.69208333333327
2016-08-20,186.38666666666668
2016-08-19,186.51916666666673
2016-08-18,186.5175
2016-08-17,186.5183333333334
2016-08-16,186.50041666666667
2016-08-15,186.47041666666667
2016-08-14,186.42416666666665
2016-08-13,186.35869565217388
2016-08-12,186.27375000000004
2016-08-11,186.21291666666664
2016-08-10,186.15124999999998
2016-08-09,186.06500000000003
2016-08-08,185.97249999999997
2016-08-07,185.8958333333333
2016-08-06,185.8213043478261
2016-08-05,185.7379166666666
2016-08-04,185.63826086956524
2016-08-03,185.55750000000003
2016-08-02,185.48333333333332
2016-08-01,185.3883333333333
2016-07-31,185.28250000000003
2016-07-30,185.18958333333333
2016-07-29,185.10086956521738
2016-07-28,185.00791666666666
2016-07-27,184.9
2016-07-26,184.79583333333335
2016-07-25,184.68125
2016-07-24,184.56083333333336
2016-07-23,184.43499999999997
2016-07-22,184.33583333333334
2016-07-21,184.2308333333333
2016-07-20,184.11708333333334
2016-07-19,183.99500000000003
2016-07-18,183.86750000000004
2016-07-17,183.72791666666663
2016-07-16,183.5925
2016-07-15,183.4529166666667
2016-07-14,183.31083333333336
2016-07-13,183.19333333333336
2016-07-12,183.06125
2016-07-11,182.92166666666665
2016-07-10,182.80583333333334
2016-07-09,182.72083333333333
2016-07-08,182.61541666666665
2016-07-07,182.5129166666667
2016-07-06,182.42124999999996
2016-07-05,182.35260869565215
2016-07-04,182.26750000000004
2016-07-03,182.19958333333338
2016-07-02,182.155652173913
2016-07-01,182.1183333333333
2016-06-30,182.06458333333333
2016-06-29,182.02083333333337
2016-06-28,182.0008333333333
2016-06-27,181.97583333333333
2016-06-26,181.9433333333333
2016-06-25,181.90374999999997
2016-06-24,181.8658333333333
2016-06-23,181.84791666666663
2016-06-22,181.80625
2016-06-21,181.80375000000004
2016-06-20,181.82043478260874
2016-06-19,181.78541666666672
2016-06-18,181.75041666666672
2016-06-17,181.71695652173912
2016-06-16,181.70173913043476
2016-06-15,181.6845833333333
2016-06-14,181.65166666666664
2016-06-13,181.64333333333332
2016-06-12,181.66999999999996
2016-06-11,181.67541666666662
2016-06-10,181.66874999999993
2016-06-09,181.67041666666663
2016-06-08,181.68086956521734
2016-06-07,181.6908333333333
2016-06-06,181.68791666666664
2016-06-05,181.7095652173913
2016-06-04,181.7225
2016-06-03,181.71652173913046
2016-06-02,181.73416666666665
2016-06-01,181.70916666666673
2016-05-31,181.65913043478255
2016-05-30,181.66583333333327
2016-05-29,181.68249999999998
2016-05-28,181.63875
2016-05-27,181.52958333333336
2016-05-26,181.47541666666666
2016-05-25,181.4895833333333
2016-05-24,181.44499999999996
